rule,priority_score,recommended_phase,in_upstream,registered_locally,local_go_rule_dir_exists,has_go_test,missing_js_files,js_errs_local,js_errs_upstream,js_lines_local,js_lines_upstream,js_outputs_local,js_outputs_upstream,js_suggestions_local,js_suggestions_upstream,js_skip_delta,go_skip_count,todo_fixme_count,flags,upstream_rule_file,local_go_impl_files,local_go_test_files,local_js_test_files
no-unused-expressions,0,aligned,True,True,True,True,,23,23,390,387,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/no-unused-expressions.ts,internal/plugins/typescript/rules/no_unused_expressions/no_unused_expressions.go,internal/plugins/typescript/rules/no_unused_expressions/no_unused_expressions_test.go,no-unused-expressions.test.ts
no-use-before-define,0,aligned,True,True,True,True,,62,62,1480,1439,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/no-use-before-define.ts,internal/plugins/typescript/rules/no_use_before_define/no_use_before_define.go,internal/plugins/typescript/rules/no_use_before_define/no_use_before_define_test.go,no-use-before-define.test.ts
no-useless-constructor,0,aligned,True,True,True,True,,9,9,430,421,9,9,9,9,0,0,0,,packages/eslint-plugin/src/rules/no-useless-constructor.ts,internal/plugins/typescript/rules/no_useless_constructor/no_useless_constructor.go,internal/plugins/typescript/rules/no_useless_constructor/no_useless_constructor_test.go,no-useless-constructor.test.ts
no-useless-empty-export,0,aligned,True,True,True,True,,8,8,153,154,8,8,0,0,0,0,0,,packages/eslint-plugin/src/rules/no-useless-empty-export.ts,internal/plugins/typescript/rules/no_useless_empty_export/no_useless_empty_export.go,internal/plugins/typescript/rules/no_useless_empty_export/no_useless_empty_export_test.go,no-useless-empty-export.test.ts
no-var-requires,0,aligned,True,True,True,True,,17,17,222,223,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/no-var-requires.ts,internal/plugins/typescript/rules/no_var_requires/no_var_requires.go,internal/plugins/typescript/rules/no_var_requires/no_var_requires_test.go,no-var-requires.test.ts
non-nullable-type-assertion-style,0,aligned,True,True,True,True,,10,10,297,284,10,10,0,0,0,0,0,,packages/eslint-plugin/src/rules/non-nullable-type-assertion-style.ts,internal/plugins/typescript/rules/non_nullable_type_assertion_style/non_nullable_type_assertion_style.go,internal/plugins/typescript/rules/non_nullable_type_assertion_style/non_nullable_type_assertion_style_test.go,non-nullable-type-assertion-style.test.ts
parameter-properties,0,aligned,True,True,True,True,,31,31,1048,1037,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/parameter-properties.ts,internal/plugins/typescript/rules/parameter_properties/parameter_properties.go,internal/plugins/typescript/rules/parameter_properties/parameter_properties_test.go,parameter-properties.test.ts
prefer-as-const,0,aligned,True,True,True,True,,15,15,324,325,20,20,5,5,0,0,0,,packages/eslint-plugin/src/rules/prefer-as-const.ts,internal/plugins/typescript/rules/prefer_as_const/prefer_as_const.go,internal/plugins/typescript/rules/prefer_as_const/prefer_as_const_test.go,prefer-as-const.test.ts
prefer-destructuring,0,aligned,True,True,True,True,,37,37,1066,1020,37,37,0,0,0,0,0,,packages/eslint-plugin/src/rules/prefer-destructuring.ts,internal/plugins/typescript/rules/prefer_destructuring/prefer_destructuring.go,internal/plugins/typescript/rules/prefer_destructuring/prefer_destructuring_test.go,prefer-destructuring.test.ts
prefer-for-of,0,aligned,True,True,True,True,,18,18,443,444,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/prefer-for-of.ts,internal/plugins/typescript/rules/prefer_for_of/prefer_for_of.go,internal/plugins/typescript/rules/prefer_for_of/prefer_for_of_test.go,prefer-for-of.test.ts
prefer-includes,0,aligned,True,True,True,True,,29,29,510,502,29,29,0,0,0,0,0,,packages/eslint-plugin/src/rules/prefer-includes.ts,internal/plugins/typescript/rules/prefer_includes/prefer_includes.go,internal/plugins/typescript/rules/prefer_includes/prefer_includes_test.go,prefer-includes.test.ts
prefer-literal-enum-member,0,aligned,True,True,True,True,,15,15,491,478,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/prefer-literal-enum-member.ts,internal/plugins/typescript/rules/prefer_literal_enum_member/prefer_literal_enum_member.go,internal/plugins/typescript/rules/prefer_literal_enum_member/prefer_literal_enum_member_test.go,prefer-literal-enum-member.test.ts
prefer-namespace-keyword,0,aligned,True,True,True,True,,3,3,59,60,3,3,0,0,0,0,0,,packages/eslint-plugin/src/rules/prefer-namespace-keyword.ts,internal/plugins/typescript/rules/prefer_namespace_keyword/prefer_namespace_keyword.go,internal/plugins/typescript/rules/prefer_namespace_keyword/prefer_namespace_keyword_test.go,prefer-namespace-keyword.test.ts
prefer-readonly,0,aligned,True,True,True,True,,82,82,3225,3217,82,82,0,0,0,0,0,,packages/eslint-plugin/src/rules/prefer-readonly.ts,internal/plugins/typescript/rules/prefer_readonly/prefer_readonly.go,internal/plugins/typescript/rules/prefer_readonly/prefer_readonly_test.go,prefer-readonly.test.ts
prefer-readonly-parameter-types,0,aligned,True,True,True,True,,39,41,1077,1193,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/prefer-readonly-parameter-types.ts,internal/plugins/typescript/rules/prefer_readonly_parameter_types/prefer_readonly_parameter_types.go,internal/plugins/typescript/rules/prefer_readonly_parameter_types/prefer_readonly_parameter_types_debug_test.go|internal/plugins/typescript/rules/prefer_readonly_parameter_types/prefer_readonly_parameter_types_test.go,prefer-readonly-parameter-types.test.ts
prefer-reduce-type-parameter,0,aligned,True,True,True,True,,14,14,375,367,14,14,0,0,0,0,0,,packages/eslint-plugin/src/rules/prefer-reduce-type-parameter.ts,internal/plugins/typescript/rules/prefer_reduce_type_parameter/prefer_reduce_type_parameter.go,internal/plugins/typescript/rules/prefer_reduce_type_parameter/prefer_reduce_type_parameter_test.go,prefer-reduce-type-parameter.test.ts
prefer-string-starts-ends-with,0,aligned,True,True,True,True,,67,67,1181,1174,67,67,0,0,0,0,0,,packages/eslint-plugin/src/rules/prefer-string-starts-ends-with.ts,internal/plugins/typescript/rules/prefer_string_starts_ends_with/prefer_string_starts_ends_with.go,internal/plugins/typescript/rules/prefer_string_starts_ends_with/prefer_string_starts_ends_with_test.go,prefer-string-starts-ends-with.test.ts
prefer-ts-expect-error,0,aligned,True,True,True,True,,8,8,148,149,8,8,0,0,0,0,0,,packages/eslint-plugin/src/rules/prefer-ts-expect-error.ts,internal/plugins/typescript/rules/prefer_ts_expect_error/prefer_ts_expect_error.go,internal/plugins/typescript/rules/prefer_ts_expect_error/prefer_ts_expect_error_test.go,prefer-ts-expect-error.test.ts
related-getter-setter-pairs,0,aligned,True,True,True,True,,7,7,240,232,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/related-getter-setter-pairs.ts,internal/plugins/typescript/rules/related_getter_setter_pairs/related_getter_setter_pairs.go,internal/plugins/typescript/rules/related_getter_setter_pairs/related_getter_setter_pairs_test.go,related-getter-setter-pairs.test.ts
require-array-sort-compare,0,aligned,True,True,True,True,,16,16,269,261,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/require-array-sort-compare.ts,internal/plugins/typescript/rules/require_array_sort_compare/require_array_sort_compare.go,internal/plugins/typescript/rules/require_array_sort_compare/require_array_sort_compare_test.go,require-array-sort-compare.test.ts
restrict-plus-operands,0,aligned,True,True,True,True,,60,60,1790,1782,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/restrict-plus-operands.ts,internal/plugins/typescript/rules/restrict_plus_operands/restrict_plus_operands.go,internal/plugins/typescript/rules/restrict_plus_operands/restrict_plus_operands_test.go,restrict-plus-operands.test.ts
return-await,0,aligned,True,True,True,True,,43,43,1667,1660,60,60,17,17,0,0,0,,packages/eslint-plugin/src/rules/return-await.ts,internal/plugins/typescript/rules/return_await/return_await.go,internal/plugins/typescript/rules/return_await/return_await_test.go,return-await.test.ts
triple-slash-reference,0,aligned,True,True,True,True,,5,5,183,184,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/triple-slash-reference.ts,internal/plugins/typescript/rules/triple_slash_reference/triple_slash_reference.go,internal/plugins/typescript/rules/triple_slash_reference/triple_slash_reference_test.go,triple-slash-reference.test.ts
typedef,0,aligned,True,True,True,True,,34,34,1125,1117,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/typedef.ts,internal/plugins/typescript/rules/typedef/typedef.go,internal/plugins/typescript/rules/typedef/typedef_test.go,typedef.test.ts
unified-signatures,0,aligned,True,True,True,True,,40,40,1245,1246,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/unified-signatures.ts,internal/plugins/typescript/rules/unified_signatures/unified_signatures.go,internal/plugins/typescript/rules/unified_signatures/unified_signatures_test.go,unified-signatures.test.ts
